id,name,cat,cost,active,duration,castRange,cooldown,desc,stat_type,stat_val,cond_type,cond_val
,,,,,,,,,Sprint Speed m/s,1,Fire Rate %,-12
35,Point Blank,Weapon,3200,Passive,,,,"When in close range to your target, gain Weapon Damage and your bullets apply a Movement Slow. +50% Weapon Damage. 2s Debuff Duration. 15.0m Close Range",Bonus Health,100,Move Speed m/s,-25
,,,,,,,,,Melee Resist %,30,,
36,Sharpshooter,Weapon,3200,Passive,,,,Deal additional Weapon Damage when beyond a minimum distance from your target. 15m Min. Distance,Weapon Fall-off Range %,20,Weapon Damage %,70
,,,,,,,,,Weapon Zoom %,25,,
,,,,,,,,,Sprint Speed m/s,1,,
,,,,,,,,,Move Speed m/s,-0.7,,
37,Spirit Rend,Weapon,3200,Passive,,,,Your bullets apply a debuff that reduces the Spirit Resist of the target and grants you and your allies Spirit Lifesteal against them. Landing headshots against the target reduces their Spirit Resist further. 8s Debuff Duration. 4 Max Stacks. (2s),Bonus Health,100,Spirit Resist %,-8
,,,,,,,,,,,Spirit Lifesteal %,10
38,Tesla Bullets,Weapon,3200,Passive,,,,Your bullets have a chance to shock your target. The shock will jump to a nearby enemy. +33 Shock Damage. 15% Proc Chance. 8m Jump Radius. 4 Max Jumps. (0.25s),,,,
39,Toxic Bullets,Weapon,3200,Passive,,,,"Your bullets build up a Bleed on enemies, causing them to lose a percentage of their Max Health over time. Also applies Healing Reduction on the bleeding target. 1.7%/sec Bleed Damage. 4s Duration. 19.7 Buildup Per Shot",,,Healing Effectiveness %,-35
40,Weighted Shots,Weapon,3200,Passive,,,,,Weapon Damage %,40,,
,,,,,,,,,Bullet Velocity %,-30,,
,,,,,,,,,Debuff Resist %,20,,
,,,,,,,,,Stamina Recovery %,-14,,
41,Ballistic Enchantment,Weapon,3200,Imbue,,,,Imbue an ability with increased range. Dealing damage with that ability grants you increased weapon damage per unique hero hit. Has reduced effect on non-heroes. +20% Ability Range. 14s Duration. +5% Non-Hero Weapon Damage. 8 Non-Hero Stack Limit,Ability Range %,20,Weapon Damage %,20
,,,,,,,,,Non-Hero Weapon Damage %,5,,
42,Shadow Weave,Weapon,3200,Active,,,,"Become Stealthed. Whenever you take damage while Stealthed you get briefly revealed. Invisible Status Effect. 10s Stealth Duration. 18m Spot Radius. Attacking or using an ability will end your stealth and start an ambush, temporarily granting you bonus Fire Rate and Spirit Power. 5s Ambush Duration. +20% Melee Damage on Ambush reveal. (20s)",Out of Combat Regen,5,,
,,,,,,,,,Sprint Speed m/s,2,,
,,,,,,,,,Melee Damage on Ambush %,20,,
43,Armor Piercing Rounds,Weapon,6400,Passive,,,,"Your Bullets have a chance to become unavoidable, piercing through enemies and ignoring their Bullet Resistance. 55% Proc Chance",Bullet Velocity %,35,,
44,Capacitor,Weapon,6400,Active,,,,"Your bullets have a chance to shock your target. The shock will jump to a nearby enemy. 43 Shock Damage. 20% Proc Chance. 6 Max Jumps. 10m jump Radius. +5% Fire Rate. (0.25s) | Launch a projectile that deals damage, removes all their non-ultimate buffs and applies a strong slow that recovers over time. 100 Damage. -75% Max Move Speed. 3s Debuff Duration. (40s)",Fire Rate %,5,,
45,Crippling Headshot,Weapon,6400,Passive,,,,Landing a Headshot will reduce the target's Bullet and Spirit Resist. Also applies Healing Reduction on the target. -16% Bullet Resist. -16% Spirit Resist. 12s Debuff Duration,Bonus Health,150,Healing Effectiveness %,-35
46,Frenzy,Weapon,6400,Passive,,,,"While you are below 50% health, you gain stat bonuses. +30% Debuff Resistance",Fire Rate %,15,Move Speed m/s,4
,,,,,,,,,Bonus Health,160,Fire Rate %,40
47,Glass Cannon,Weapon,6400,Passive,,,,Each hero kill grants permanent Fire Rate (up to a max of 8 times). Death results in the loss of 1 stack.,Weapon Damage %,80,Fire Rate %,8
,,,,,,,,,Max Health %,-15,,
48,Lucky Shot,Weapon,6400,Passive,,,,"Your bullets have a chance to be empowered, causing them to deal bonus weapon damage on hit. Bonus damage cannot Crit. +100% Bonus Weapon Damage. 25% Proc Chance",Max Ammo %,30,,
49,Ricochet,Weapon,6400,Passive,,,,"Your bullets will ricochet on enemies near your target, applying any bullet procs and dealing a percentage of the original damage. 65% Ricochet Damage. 2 Ricochet Targets. 13m Ricochet Range",Fire Rate %,20,,
50,Crushing Fists,Weapon,6400,Passive,,,,"Your next Heavy Melee attack against an enemy deals increased damage. +25 Bonus Heavy Damage. (7s) Your melee damage will restore ammo and apply a stacking bullet resist debuff on enemies. Heavy melee applies 2 stacks. If the target reaches max stacks, they will be stunned. +15% Ammo. 6 Max Stacks. 0.5s Stun Duration. 8s Debuff Duration",Heavy Melee Distance %,60,Bullet Resist %,-4
,,,,,,,,,Melee Damage %,20,,
,,,,,,,,,Bullet Resist %,12,,
51,Silencer,Weapon,6400,Passive,,,,Your bullets reduce the target's outgoing spirit damage. 6s Debuff Duration. Your bullets build up to a Silence. Victims are immune to the build up for 10s after silence expires. Silenced Status Effect. 2.5s Silence Duration. 10s Immunity Duration. 20% Buildup Per Shot,Spirit Resist %,15,Spirit Resist %,-25
52,Spellslinger,Weapon,6400,Passive,,,,"Whenever you cast an ability or item, gain a stacking buff that improves fire rate and reload speed. Each stack refreshes the duration. 6 Max Stacks. 18s Buff Duration",Cooldown Reduction %,6,Fire Rate %,12
53,Spiritual Overflow,Weapon,6400,Passive,,,,Gain bonus Fire Rate and Spirit Power by charging up with your bullets on enemy heroes. +16% Spirit Lifesteal. 28% Buildup Per Shot. 15s Duration,Ability Duration %,15,Fire Rate %,35
,,,,,,,,,Spirit Lifesteal %,16,Spirit Power,40
54,Extra Health,Vitality,800,Passive,,,,,Bonus Health,210,,
55,Extra Regen,Vitality,800,Passive,,,,,Health Regen/s,3.5,,
,,,,,,,,,Out of Combat Regen,1,,
56,Extra Stamina,Vitality,800,Passive,,,,,Stamina,1,,
,,,,,,,,,Stamina Recovery %,12,,
57,Healing Rite,Vitality,800,Active,,,,Grant Regen and Sprint Speed to the target. Gets dispelled if you take damage from enemy players or objectives. Can be self-cast. 300 Total Heal Regen. 20s Regen Duration. 30m Cast Range. (70s),,,Move Speed m/s,2
58,Melee Lifesteal,Vitality,800,Passive,,,,Your next Melee attacks heals you. This heal is 30% effective vs non-heroes. Cooldown is 1.5x as long for Light Melee Hits. 100 Heal on Melee Hit. (8s),Melee Damage %,12,,
59,Rebuttal,Vitality,800,Passive,,,,"On a successful Parry against an enemy Hero, Heal yourself for the damage parried and returns that damage to the target, and temporarily gain increased melee damage. +30% Bonus Damage on successful parry. +18% Melee Resistance. 6s Buff Duration | testing testing",Bonus Health,75,,
,,,,,,,,,Melee Resist %,18,,
60,Sprint Boots,Vitality,800,Passive,,,,,Sprint Speed m/s,2,,
,,,,,,,,,Out of Combat Regen,2,,
61,Trophy Collector,Vitality,800,Passive,,,,(Upgrades to 1600 version),,,,
62,Battle Vest,Vitality,1600,Passive,,,,"While you are above 65% health, gain weapon damage and bonus fire rate.",Bullet Resist flat,18,Weapon Damage %,15
,,,,,,,,,Out of Combat Regen,3,Fire Rate %,8
63,Bullet Lifesteal,Vitality,1600,Passive,,,,,Bullet Lifesteal %,13,,
,,,,,,,,,Bonus Health,70,,
64,Debuff Reducer,Vitality,1600,Passive,,,,Reduces the duration of all negative effects applied to you.,Debuff Resist %,25,,
65,Enchanter's Emblem,Vitality,1600,Passive,,,,"While you are above 65% health, gain bonus Spirit and Cooldown Reduction.",Spirit Resist flat,18,Spirit Power,15
,,,,,,,,,Out of Combat Regen,2,Cooldown Reduction %,5
66,Enduring Speed,Vitality,1600,Passive,,,,Reduce the effect of enemy Move Speed penalties. +25% Slow Resist,Move Speed m/s,2,,
,,,,,,,,,Out of Combat Regen,2,,
,,,,,,,,,Slow Resist %,25,,
67,Guardian Ward,Vitality,1600,Active,,,,Provide the target with a Barrier and temporary Move Speed. Can be self-cast. Cooldown is reduced by half when cast on someone else. 6s Buff Duration. 40m Cast Range. (35s),Ability Range %,8,Move Speed m/s,2.75
68,Healbane,Vitality,1600,Passive,,,,"Your Spirit Damage applies Healing Reduction. If an enemy hero dies under this effect, you receive a large heal. 275 Heal on Hero Kill. 8s Duration",Spirit Power,7,Healing Effectiveness %,-35
69,Healing Booster,Vitality,1600,Passive,,,,Increases the effectiveness of your healing by 20%,Health Regen/s,3,,
,,,,,,,,,Out of Combat Regen,1,,
70,Weapon Shielding,Vitality,1600,Passive,,,,Gain a Barrier whenever you take significant weapon damage from enemy Heroes in a small time frame. 250 Damage Threshold. 4s Time Frame. 8s Barrier Duration. (35s),Out of Combat Regen,2.5,,
,,,,,,,,,Move Speed m/s,1.75,,
71,Reactive Barrier,Vitality,1600,Active,,,,"Automatically restores one stamina and gain a Barrier when you are movement locked, Stunned, Chained, Immobilized, or Slept. 10s Duration. (55s)",,,,
72,Restorative Locket,Vitality,1600,Active,,,,"When an enemy uses an ability within 35m range from you, store one Restoration Stack. | Consume all stacks to heal target ally and replenish 4 stamina points. Can be self-cast. 16 Heal per Stack. 25 Max Stacks. (20s)",Spirit Resist %,10,,
73,Return Fire,Vitality,1600,Active,,,,Automatically fire a bullet towards any attacker who damages you with their abilities or weapon. 65% Bullet Damage Returned. 25% Spirit Damage Returned. 6s Duration. (23s),Bullet Resist %,10,,
74,Spirit Lifesteal,Vitality,1600,Passive,,,,,Spirit Lifesteal %,13,,
,,,,,,,,,Bonus Health,70,,
,,,,,,,,,Spirit Power,6,,
75,Spirit Shielding,Vitality,1600,Passive,,,,Gain a Barrier whenever you take significant spirit damage from enemy Heroes in a small time frame. 225 Damage Threshold. 3.5s Time Frame. 8s Barrier Duration. (45s),Out of Combat Regen,2.5,,
,,,,,,,,,Move Speed m/s,1.75,,
76,Trophy Collector (1600),Vitality,1600,Passive,,,,"Whenever you score an assist or kill, gain extra health, sprint, and ability range and passive soul generation. This effect stacks and persists through death. +0.2m/s Sprint Speed. +0.75% Ability Range. 18 Souls per Minute. 16 Max Stacks",Sprint Speed m/s,2,,
,,,,,,,,,Out of Combat Regen,2,,
77,Bullet Resilience,Vitality,3200,Passive,,,,"When below 50% health, gain additional Bullet Resist.",Bullet Resist %,30,Bullet Resist %,30
,,,,,,,,,Out of Combat Regen,3,,
78,Counterspell,Vitality,3200,Passive,,,,Your next parry protects you from the damage and effects of enemy abilities and items. On a successful spell parry gain Move Speed and Spirit Power. 0.8s Spell Parry Duration. (23s),Bonus Health,50,,
,,,,,,,,,Spirit Power,8,,
79,Dispel Magic,Vitality,3200,Active,,,,"Purge all non-ultimate negative effects currently applied to you. If any effects were removed, heal yourself and gain a move speed bonus. Cannot be used while Stunned or Slept. 250 HP Healed On Activate. +2m/s Move Speed. 3s Buff Duration. (40s)",Spirit Resist %,10,,
80,Fortitude,Vitality,3200,Passive,,,,"After not taking damage for 10s, gain 2% Max Health Regen. When you are above 75% health, you have bonus Weapon Damage and Move Speed.",Bonus Health,375,Move Speed m/s,1.25
81,Fury Trance,Vitality,3200,Active,,,,Grants Fire Rate and Bullet Resistance but Silences and disables stamina usage and regeneration. 40% Fire Rate. +40% Bullet Resist. 6s Duration. (18s),Bullet Lifesteal %,14,,
,,,,,,,,,Bonus Health,100,,
82,Lifestrike,Vitality,3200,Passive,,,,Your Melee Attack applies Movement Slow and heals you for 30% of the Melee Damage dealt plus 110. This heal is 40% effective vs non-heroes. Cooldown is 1.5x as long for Light Melee hits. 2.5s Slow Duration. (4s),Melee Damage %,16,Move Speed m/s,60
,,,,,,,,,Bonus Health,125,,
83,Majestic Leap,Vitality,3200,Active,,,,"Launch yourself high into the air and grant yourself a Barrier. While in the air, you can use the active again to drop down faster. Cannot be used for 5s if attacked by enemy Hero. 8s Barrier Duration. (45s)",,,,
84,Metal Skin,Vitality,3200,Active,,,,Become immune to bullets. -1.5m/s Active Movespeed Penalty. -20% Dash Distance. 5s Duration. (24s),Bullet Resist %,12,,
85,Rescue Beam,Vitality,3200,Active,,,,"Heals a target allied hero and yourself for a percentage of Max Health. Once while healing, you can Pull the target towards you. Can be self-cast. 20% Heal Amount. 2.5s Channel Duration. 35m Cast Range. (60s)",Sprint Speed m/s,0.75,,
,,,,,,,,,Ability Range %,6,,
86,Spirit Resilience,Vitality,3200,Passive,,,,"When below 50% health, gain additional Spirit Resist.",Spirit Resist %,30,Spirit Resist %,30
,,,,,,,,,Out of Combat Regen,3,,
87,Stamina Mastery,Vitality,3200,Passive,,,,Allows an additional use of Air Jump or Air Dash before landing.,Stamina,2,,
,,,,,,,,,Stamina Recovery %,18,,
,,,,,,,,,Air Jump/Dash Distance %,23,,
88,Healing Nova,Vitality,3200,Active,,,,Heal yourself and nearby allies. 325 Total HP Regen. 2s Regen Duration. 18m Radius. (60s),Spirit Power,8,,
,,,,,,,,,Ability Range %,5,,
89,Veil Walker,Vitality,3200,Passive,,,,"Walking through a cosmic veil grants you Stealth, increased Move Speed. Invisible (Status Effect). 85 Heal. 7s Invisibility Duration. (15s)",Bonus Health,125,Move Speed m/s,3.5
,,,,,,,,,Spirit Power,10,,
90,Warp Stone,Vitality,3200,Active,,,,"Teleport straight ahead, gaining Bullet Resist. 11m Teleport Range. 6s Buff Duration. (16)",,,Bullet Resist %,30
91,Cheat Death,Vitality,6400,Passive,,,,"When you would take lethal damage, instead become temporarily death immune. While death immune, you deal reduced damage, have reduced healing and move slower. 4.5s Death Immunity Duration. -60% Damage Reduction. -60% Healing Reduction. -2 m/s Move Speed. (90s)",Bonus Health,200,,
,,,,,,,,,Spirit Resist %,15,,
92,Colossus,Vitality,6400,Active,,,,"Gain Bullet and Spirit Resist, and slow the movement and dash speed of enemies nearby. Your model size grows by 35%. +30% Melee Damage. 14m Radius. 7s Duration. (37s)",Base Health %,25,Bullet Resist %,30
,,,,,,,,,Weapon Damage %,15,Spirit Resist %,30
,,,,,,,,,Melee Damage %,30,Move Speed m/s,-30
93,Divine Barrier,Vitality,6400,Active,,,,Remove all non-stun debuffs from the target and provide them with a Barrier and Move Speed. Can be self-cast. Cooldown is reduced by half when cast on someone else. 600 Barrier. 6s Buff Duration. 40m Cast Range. (45s),Ability Range %,10,Move Speed m/s,2.75
94,Diviner's Kevlar,Vitality,6400,Passive,,,,"Upon casting an ultimate ability gain temporary Bullet Shield, Spirit Shield, and Spirit Power. 20s Buff Duration. (40s)",Ability Duration %,15,Spirit Power,35
95,Healing Tempo,Vitality,6400,Passive,,,,Applying heal to yourself or an ally grants the target bonus fire rate and bonus move speed. Does not apply on innate Regen or innate Bullet/Spirit Lifesteal. +40% Fire Rate. +1.25 m/s Move Speed. 7s Buff Duration,Healing Effectiveness %,25,,
,,,,,,,,,Spirit Resist %,10,,
,,,,,,,,,Health Regen/s,6,,
,,,,,,,,,Out of Combat Regen,4,,
96,Infuser,Vitality,6400,Active,,,,6s Duration. (30s),Spirit Lifesteal %,13,Spirit Lifesteal %,70
,,,,,,,,,Spirit Resist %,10,Spirit Power,35
,,,,,,,,,Bonus Health,100,,
97,Inhibitor,Vitality,6400,Passive,,,,Your bullets reduce the target's outgoing damage and apply healing reduction. 5s Debuff Duration. 23% Buildup Per Shot,Weapon Damage %,25,Healing Effectiveness %,-40
,,,,,,,,,Bonus Health,150,,
98,Juggernaut,Vitality,6400,Passive,,,,Enemies that shoot you have their Fire Rate slowed. 4s Duration,Slow Resist %,50,Fire Rate %,-40
,,,,,,,,,Move Speed m/s,2,,
,,,,,,,,,Melee Resist %,25,,
,,,,,,,,,Health Regen/s,8,,
99,Leech,Vitality,6400,Passive,,,,,Spirit Lifesteal %,25,,
,,,,,,,,,Bullet Lifesteal %,30,,
,,,,,,,,,Bonus Health,160,,
,,,,,,,,,Weapon Damage %,12,,
,,,,,,,,,Spirit Power,12,,
100,Phantom Strike,Vitality,6400,Active,,,,"Teleport to an enemy target and pull them to the ground. Dealing damage, Move speed reduction and Disarm. Disarm Status Effect. 82 Damage. 25m Cast Range. 3s Disarm & Slow Duration. (35s)",Weapon Damage %,15,Move Speed m/s,-50
,,,,,,,,,Spirit Power,8,,
101,Plated Armor,Vitality,6400,Passive,,,,"Gain a chance to either deflect incoming bullets, preventing all weapon damage or prevent all on-hit effects from bullets. 30% Deflection Percent. 50% On-Hit Prevention Percent",Bonus Health,130,,
102,Siphon Bullets,Vitality,6400,Passive,,,,Your bullets temporarily steal Max HP from enemies. Enemies regain their stolen health when the debuff expires. Permanently steal 1 stacks of health if a siphoned target dies and lose 2 stacks if you die. 35 Max HP Steal Per Bullet. 17s Steal Duration. (1.2s),Weapon Damage %,15,,
,,,,,,,,,Bullet Resist %,10,,
103,Spellbreaker,Vitality,6400,Passive,,,,The next instance of high spirit damage you take is significantly reduced. 65% Spirit Damage Reduction. 175 Damage Threshold. (9s),Spirit Resist %,18,,
,,,,,,,,,Debuff Resist %,25,,
104,Unstoppable,Vitality,6400,Active,,,,"Temporarily suppress negative status effects and become immune to Stun, Silence, Sleep, Root, and Disarm. Cannot be used while Stunned or Slept. 5.5s Duration. (65s)",Debuff Resist %,25,,
,,,,,,,,,Bonus Health,125,,
105,Vampiric Burst,Vitality,6400,Active,,,,"Grants Lifesteal, Fire Rate, and Ammo. This added Ammo is not limited by your max magazine size. 70% Bullet Lifesteal. 40% Fire Rate. +75% Ammo. 4.5s Duration. (30s)",Bullet Lifesteal %,13,,
,,,,,,,,,Bullet Resist %,10,,
,,,,,,,,,Bonus Health,100,,
106,Witchmail,Vitality,6400,Passive,,,,Taking heavy hits of spirit damage from an enemy reduces a random ability cooldown. 4s Cooldown Reduction per Hit. 75 Damage Threshold. (1s),Spirit Resist %,20,,
,,,,,,,,,Spirit Power,14,,
107,Indomitable,Vitality,6400,Passive,,,,"The next Stun, Chain, Immobilize, Sleep or Silence is automatically cleansed. When this happens, you gain a barrier and all your ability cooldowns get reduced by 20%. 10s Duration. (55s)",Bullet Resist %,8,,
,,,,,,,,,Spirit Resist %,8,,
108,Extra Charge,Spirit,800,Passive,,,,,Bonus Ability Charges,1,,
,,,,,,,,,Imbued Spirit Power,7,,
109,Extra Spirit,Spirit,800,Passive,,,,,Spirit Power,10,,
110,Mystic Burst,Spirit,800,Passive,,,,"Charges up over time with bonus spirit damage, causing abilities dealing more than 80 damage to deal additional damage. 40 Bonus Damage. (14s)",,,,
111,Mystic Expansion,Spirit,800,Imbue,,,,Imbue an ability to increase its range and effect radius.,Ability Range %,20,,
112,Mystic Regeneration,Spirit,800,Passive,,,,Dealing Spirit Damage to enemy Heroes grants you Bonus Health Regen. Stacks when dealing damage to different heroes. 4 HP/s Regeneration. 6s Regeneration Duration,Bonus Health,50,,
113,Rusted Barrel,Spirit,800,Active,,,,Target an enemy to reduce their Fire Rate. 32m Cast Range. 5s Duration. (16s),Bonus Health,60,Fire Rate %,-35
,,,,,,,,,Bullet Resist %,8,,
114,Spirit Strike,Spirit,800,Passive,,,,"When you perform a Light or Heavy Melee attack against a hero, deal extra Spirit Damage with the attack and reduce the target's Spirit Resist. 40 Spirit Damage. 6s Duration. (8s)",,,Spirit Resist %,-6
115,Golden Goose Egg,Spirit,800,Active,,,,"Hatch the egg, gaining Souls and permanent buffs. The value of the egg grows the longer you hold onto it. 90 Soul Value per Minute",Sprint Speed m/s,1,,
,,,,,,,,,Out of Combat Regen,1,,
116,Arcane Surge,Spirit,1600,Imbue,,,,"When you Dash-Jump, the next ability you use will have bonus Range, Duration and Spirit Power. Lasts up to 7s. 7s Duration",Stamina,1,Ability Range %,12
,,,,,,,,,Stamina Recovery %,12,Ability Duration %,15
,,,,,,,,,,,Spirit Power,20
117,Bullet Resist Shredder,Spirit,1600,Passive,,,,Reduces Bullet Resist on enemies when you deal Spirit Damage. 8s Duration,Bonus Health,90,Bullet Resist %,-10
,,,,,,,,,Bullet Resist flat,7,,
118,Cold Front,Spirit,1600,Active,,,,Release an expanding ice blast that deals Spirit Damage and Slows targets it hits. 95 Damage. 12m End Radius. 4s Duration. (25s),Spirit Resist %,6,Move Speed m/s,60
119,Compress Cooldown,Spirit,1600,Imbue,,,,Imbue an ability to reduce its Cooldown. +18% Cooldown Reduction,Cooldown Reduction %,18,,
120,Duration Extender,Spirit,1600,Imbue,,,,Imbue an ability to increase its Duration. +22% Ability Duration,Ability Duration %,22,,
121,Improved Spirit,Spirit,1600,Passive,,,,,Spirit Power,18,,
